type,price,beds,bath,propertysqft,latitude,longitude,borough,neighborhood,price_per_sqft
House,588888,4,2,1640.0,40.5986261,-74.1817717,Manhattan,Staten Island,359.08
Multi-family,650000,6,2,2184.207862,40.8719262,-73.8423808,Manhattan,Bronx,297.59
Co-op,315000,1,1,850.0,40.7520799,-73.88188,Queens,Queens,370.59
Multi-family,1599999,6,2,4073.0,40.813524,-73.802218,Manhattan,Bronx,392.83
Townhouse,10000000,5,2,5660.0,40.791801,-73.9665998,Manhattan,Manhattan,1766.78
House,825000,4,2,2230.0,40.5532787,-74.1649844,Manhattan,Staten Island,369.96
House,690000,3,2,1325.0,40.6173476,-73.9131449,Manhattan,Brooklyn,520.75
House,1249949,4,4,2720.0,40.5107045,-74.2389945,Manhattan,Staten Island,459.54
House,799000,4,3,2184.207862,40.6483188,-73.9039932,Manhattan,Brooklyn,365.81
Co-op,115000,3,1,2184.207862,40.7104509,-73.7982064,Queens,Queens,52.65
House,2088000,4,4,2394.0,40.7803566,-73.771297,Manhattan,Queens,872.18
Condo,699000,2,2,1766.0,40.5771307,-73.8443159,Queens,Queens,395.81
Co-op,119000,1,1,650.0,40.8522378,-73.8655788,Bronx,Bronx,183.08
Multi-family,1275000,5,3,2184.207862,40.7563571,-73.8819905,Manhattan,Queens,583.74
Condo,410000,2,2,2184.207862,40.6668174,-73.8499468,Queens,Queens,187.71
Co-op,309900,2,1,900.0,40.8901764,-73.9146261,Bronx,Bronx,344.33
Condo,435000,3,2,1034.0,40.8690609,-73.835715,Manhattan,Bronx,420.7
House,879000,3,3,2184.207862,40.785245,-73.8557,Manhattan,Queens,402.43
Co-op,325000,3,1,622.0,40.8192151,-73.9544658,Manhattan,Manhattan,522.51
Co-op,1900000,3,2,2200.0,40.7159669,-74.010573,Manhattan,Manhattan,863.64
House,868000,3,2,2184.207862,40.7158631,-73.8843791,Manhattan,Queens,397.4
Multi-family,1770000,7,4,2184.207862,40.7885034,-73.8393008,Manhattan,Queens,810.36
